PAYMENT_DATE,PAYMENT_AMOUNT
2015-01-09,65248.40625
2015-01-09,101187.7109375
2015-01-09,89375.859375
2015-01-09,72685.3125
2015-01-09,51835.30859375
2015-01-09,56492.06640625
2015-01-09,58454.796875
2015-01-09,60202.4765625
2015-01-09,61542.80859375
2015-01-09,64525.859375
